Title,Specs,Post Date,Options,Price,Installment
Hyundai Accent RB 2012,"['Hyundai', 'Accent RB', 'Black', '230,000 Km', 'Beni Suef']",2023-06-17,"430,000 EGP",No
Hyundai Accent RB 2015,"['Hyundai', 'Accent RB', 'Black', '280,000 Km', 'El Minya']",2023-06-17,"410,000 EGP",No
Hyundai Elantra 2007,"['Hyundai', 'Elantra', 'Silver', '130,000 Km', 'Sadat City']",2023-06-17,"460,000 EGP",No
Hyundai Elantra MD 2015,"['Hyundai', 'Elantra MD', 'Silver', '56,000 Km', 'Sohag']",2023-06-16,"560,000 EGP",No
Hyundai Matrix 2008,"['Hyundai', 'Matrix', 'Dark blue', '166,666 Km', 'Giza']",2023-06-16,"340,000 EGP",No
Hyundai Accent RB 2016,"['Hyundai', 'Accent RB', 'White', '165,000 Km', 'Zamalek']",2023-06-16,"430,000 EGP",No
Hyundai Elantra MD 2012,"['Hyundai', 'Elantra MD', 'Red', '190,000 Km', 'Damietta']",2023-06-16,"570,000 EGP",No
Hyundai Matrix 2010,"['Hyundai', 'Matrix', 'Dark blue', '123,000 Km', 'Faqous']",2023-06-16,"365,000 EGP",No
Hyundai Elantra CN7 2021,"['Hyundai', 'Elantra CN7', 'Blue', 'A/T / SMART', '80,000 Km', '6 October']",2023-06-16,"980,000 EGP",No
Hyundai Accent RB 2017,"['Hyundai', 'Accent RB', 'Dark red', '153,000 Km', 'Cairo']",2023-06-16,"460,000 EGP",No
Hyundai Accent 2006,"['Hyundai', 'Accent', 'Silver', '250,000 Km', 'Kafr el-Sheikh']",2023-06-16,"165,000 EGP",No
Hyundai Verna 2006,"['Hyundai', 'Verna', 'Black', '350,000 Km', 'Giza']",2023-06-16,"170,000 EGP",No
Hyundai Elantra AD 2019,"['Hyundai', 'Elantra AD', 'Black', 'AT / GLS / Limited', '58,000 Km', '6 October']",2023-06-16,"930,000 EGP",No
Hyundai Getz 2005,"['Hyundai', 'Getz', 'Cyan', '175,000 Km', 'El Haram']",2023-06-16,"240,000 EGP",No
Hyundai Tucson Turbo GDI 2020,"['Hyundai', 'Tucson Turbo GDI', 'Gray', 'Automatic / Turbo / Gdi 7DST/ TOPLINE', '63,000 Km', 'Cairo']",2023-06-16,"1,420,000 EGP",No
